,dataset,algorithm,config,runtime_x,percent_changes_detected_x,f1_detected_cps_at_x,precision_x,recall_x,actual_cps,detected_cps,detected_cps_at,runtime_y,percent_changes_detected_y,f1_detected_cps_at_y,precision_y,recall_y,mean_until_detection
11,Gas,MMDEW_nys,$\alpha = 1e-16$,84.4806547164917,90.0,0.7333333333333334,0.775,0.7,"[2565, 4501, 7427, 10436, 12077]","[3071, 5119, 9215, 9983, 12031]","[3891, 5837, 9638, 10106, 13529]",85.03821015357971,100.0,0.8000000000000002,0.8,0.8,1581.25
12,Gas,NewMA,"$wsize=20, forget_factor=0.07, thresholding_quantile=0.999$",1.0901960134506226,160.0,0.4575163398692811,0.41666666666666663,0.6000000000000001,"[1936, 4945, 6778, 9704, 11345]",[],"[4628, 6227, 6748, 8586]",1.086958408355713,80.0,0.4444444444444445,0.5,0.4,1927.3333333333333
13,Gas,NewMA,"$wsize=20, forget_factor=0.07, thresholding_quantile=0.999$",1.0901960134506226,160.0,0.4575163398692811,0.41666666666666663,0.6000000000000001,"[2565, 4501, 7427, 10436, 12077]",[],"[4504, 4505, 5896, 5897, 7002, 7039, 10111, 10655, 12578, 13613, 13614, 13615]",1.0934336185455322,240.0,0.47058823529411764,0.3333333333333333,0.8,851.75
14,Gas,ScanB,"$wsize = 100, numw = 5, thresholding_quantile=0.99, forget_factor=0.06$",72.34607303142548,150.0,0.5666666666666667,0.5,0.7,"[2565, 4501, 7427, 10436, 12077]",[],"[3048, 3049, 3050, 4513, 4514, 4518, 4521, 8586, 13507, 13808]",66.72031307220459,200.0,0.5333333333333333,0.4,0.8,771.0
15,Gas,ScanB,"$wsize = 100, numw = 5, thresholding_quantile=0.99, forget_factor=0.06$",72.34607303142548,150.0,0.5666666666666667,0.5,0.7,"[1936, 4945, 6778, 9704, 11345]",[],"[1952, 6091, 6094, 6096, 13253]",77.97183299064636,100.0,0.6,0.6,0.6,1023.3333333333334
16,HAR,MMDEW,$\alpha = 1e-08$,127.91941666603088,100.0,1.0,1.0,1.0,"[1906, 3850, 5572, 6978, 8755]","[1606938044258990275541962092341162602522202993782792835301375, 6427752177035961102167848369364650410088811975131171341205503, 8034690221294951377709810461705813012611014968913964176506879, 9641628265553941653251772554046975615133217962696757011808255, 14462442398330912479877658831070463422699826944045135517712383]","[2207, 3939, 6475, 7126, 8877]",127.91941666603088,100.0,1.0,1.0,1.0,312.6
17,HAR,MMDEW_nys,$\alpha = 0.0001$,94.40150594711304,80.0,0.888888888888889,1.0,0.8,"[1906, 3850, 5572, 6978, 8755]","[2047, 4095, 7167, 9215]","[3021, 4607, 7643, 10094]",94.40150594711304,80.0,0.888888888888889,1.0,0.8,969.0
18,HAR,NewMA,"$wsize=200, forget_factor=0.05, thresholding_quantile=0.999$",23.490962266922,220.00000000000003,0.5000000000000001,0.36363636363636365,0.8,"[1906, 3850, 5572, 6978, 8755]",[],"[4706, 6458, 7519, 7520, 7521, 7755, 7756, 8343, 8757, 8758, 8759]",23.490962266922,220.00000000000003,0.5000000000000001,0.36363636363636365,0.8,571.25
19,HAR,ScanB,"$wsize = 200, numw = 5, thresholding_quantile=0.99, forget_factor=0.06$",205.8412549495697,60.0,0.5,0.6666666666666666,0.4,"[1906, 3850, 5572, 6978, 8755]",[],"[8467, 8746, 8762]",205.8412549495697,60.0,0.5,0.6666666666666666,0.4,748.0
20,MNIST,MMDEW,$\alpha = 1e-10$,3244.876332759857,100.0,1.0,1.0,1.0,"[7877, 14780, 21921, 28879, 35704, 42997, 49310, 56186, 63010]","[8034690221294951377709810461705813012611014968913964176506879, 12855504354071922204335696738729300820177623950262342682411007, 16069380442589902755419620923411626025222029937827928353013759, 17676318486848893030961583015752788627744232931610721188315135, 20890194575366873582045507200435113832788638919176306858917887, 25711008708143844408671393477458601640355247900524685364822015, 28924884796661824959755317662140926845399653888090271035424767, 33745698929438795786381203939164414652966262869438649541328895, 38566513062215766613007090216187902460532871850787028047233023]","[8099, 15766, 22903, 30440, 36353, 43745, 50347, 56937, 63978]",3244.876332759857,100.0,1.0,1.0,1.0,878.2222222222222
21,MNIST,MMDEW_nys,$\alpha = 0.0001$,6507.228406906128,11.11111111111111,0.19999999999999998,1.0,0.1111111111111111,"[7877, 14780, 21921, 28879, 35704, 42997, 49310, 56186, 63010]",[8191],[9098],6507.228406906128,11.11111111111111,0.19999999999999998,1.0,0.1111111111111111,1221.0
22,MNIST,NewMA,"$wsize=20, forget_factor=0.06, thresholding_quantile=0.999$",8.151078462600708,111.11111111111111,0.5263157894736842,0.5,0.5555555555555556,"[7877, 14780, 21921, 28879, 35704, 42997, 49310, 56186, 63010]",[],"[2422, 4837, 7879, 14782, 22160, 25556, 27492, 42555, 53112, 53113]",8.151078462600708,111.11111111111111,0.5263157894736842,0.5,0.5555555555555556,2179.2
23,MNIST,ScanB,"$wsize = 300, numw = 3, thresholding_quantile=0.99, forget_factor=0.1$",4048.206178188324,122.22222222222223,0.7000000000000001,0.6363636363636364,0.7777777777777778,"[7877, 14780, 21921, 28879, 35704, 42997, 49310, 56186, 63010]",[],"[4853, 11796, 13967, 27881, 35420, 41336, 42155, 45659, 48992, 52398, 64941]",4048.206178188324,122.22222222222223,0.7000000000000001,0.6363636363636364,0.7777777777777778,4247.571428571428
